2024-02-18 16:56:38.451884	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&biosample_ontology.classification=cell+line&assay_title=eCLIP&target.investigated_as=RNA+binding+protein&award.rfa=ENCODE3&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR661ICQ/	ENCSR661ICQ	eCLIP	eCLIP	cell line	/targets/PUM2-human/	PUM2	PUM2	Homo sapiens K562	K562	GEO:GSE91965	eCLIP experiment on K562 against PUM2	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF956TOZ/,/files/ENCFF041KJT/,/files/ENCFF133DNM/,/files/ENCFF462SCV/,/files/ENCFF280ONP/,/files/ENCFF177VQI/,/files/ENCFF767LWE/,/files/ENCFF732EQX/,/files/ENCFF231WHF/,/files/ENCFF079UZP/,/files/ENCFF902VHV/,/files/ENCFF406SXD/,/files/ENCFF730KQX/,/files/ENCFF452BKL/,/files/ENCFF657MOM/,/files/ENCFF769SCB/,/files/ENCFF133NMP/,/files/ENCFF880MWQ/,/files/ENCFF091HXE/,/files/ENCFF262JRE/,/files/ENCFF662CVN/,/files/ENCFF285IAZ/,/files/ENCFF223ACT/,/files/ENCFF673PJB/,/files/ENCFF141SVY/,/files/ENCFF372VPV/		ENCBS318IMK,ENCBS489LOC	1,2	1	ENCAB818JWN	Homo sapiens	adult	53 years												/replicates/1fa14011-52a2-4677-a3c6-6f00fdd45f5d/,/replicates/7fbea365-093d-4d72-a9b5-41fb68ed8b43/				
/experiments/ENCSR366YOG/	ENCSR366YOG	eCLIP	eCLIP	cell line	/targets/QKI-human/	QKI	QKI	Homo sapiens K562	K562	GEO:GSE91703	eCLIP experiment on K562 against QKI	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF475LRP/,/files/ENCFF823SQL/,/files/ENCFF120WPV/,/files/ENCFF776ISN/,/files/ENCFF494AKD/,/files/ENCFF372LCI/,/files/ENCFF027CBV/,/files/ENCFF698BKX/,/files/ENCFF012WMS/,/files/ENCFF640OEG/,/files/ENCFF310GLH/,/files/ENCFF162USL/,/files/ENCFF303OZO/,/files/ENCFF678IFH/,/files/ENCFF735OFZ/,/files/ENCFF815DJH/,/files/ENCFF715YVP/,/files/ENCFF786UOW/,/files/ENCFF534JXG/,/files/ENCFF963AMI/,/files/ENCFF190XSX/,/files/ENCFF767WUU/,/files/ENCFF765IFG/,/files/ENCFF992VMD/,/files/ENCFF872LOO/,/files/ENCFF938WRT/		ENCBS318IMK,ENCBS517UIR	2,1	1	ENCAB494QSS	Homo sapiens	adult	53 years												/replicates/6f7ba893-0c38-4f2b-a71c-d46c8bf3ef4f/,/replicates/95ac5f7b-3392-4f28-a183-eb9f88caf703/				
/experiments/ENCSR373ODC/	ENCSR373ODC	eCLIP	eCLIP	cell line	/targets/SMNDC1-human/	SMNDC1	SMNDC1	Homo sapiens HepG2	HepG2	RBPImage:SMNDC1,GEO:GSE91706	eCLIP experiment on HepG2 against SMNDC1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF643XEW/,/files/ENCFF347ARQ/,/files/ENCFF911CAB/,/files/ENCFF963AVW/,/files/ENCFF468CQU/,/files/ENCFF966TSJ/,/files/ENCFF693EMF/,/files/ENCFF125BMO/,/files/ENCFF110YDG/,/files/ENCFF785IEU/,/files/ENCFF288HXM/,/files/ENCFF161SFC/,/files/ENCFF478LAF/,/files/ENCFF282DDB/,/files/ENCFF590MHG/,/files/ENCFF428AMR/,/files/ENCFF320TDT/,/files/ENCFF736RYV/,/files/ENCFF230AER/,/files/ENCFF240MCZ/,/files/ENCFF588UIR/,/files/ENCFF356SSO/,/files/ENCFF893TFI/,/files/ENCFF189VWQ/,/files/ENCFF967HTY/,/files/ENCFF166OFV/		ENCBS548DJV,ENCBS859FFE	1,2	1	ENCAB616ASE	Homo sapiens	child	15 years												/replicates/a1cc677a-9ef9-44d0-a3de-1d19089c112d/,/replicates/c5655829-be30-4288-8a01-ba7763a358f2/				
/experiments/ENCSR484LTQ/	ENCSR484LTQ	eCLIP	eCLIP	cell line	/targets/NCBP2-human/	NCBP2	NCBP2	Homo sapiens K562	K562	GEO:GSE91803	eCLIP experiment on K562 against NCBP2	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF053VCT/,/files/ENCFF205RFL/,/files/ENCFF098RUK/,/files/ENCFF608TLJ/,/files/ENCFF891QNV/,/files/ENCFF771UZR/,/files/ENCFF481RZR/,/files/ENCFF913QVA/,/files/ENCFF308LKS/,/files/ENCFF173HHG/,/files/ENCFF824QNE/,/files/ENCFF515CKZ/,/files/ENCFF614IHL/,/files/ENCFF111TGW/,/files/ENCFF746QXA/,/files/ENCFF341TZE/,/files/ENCFF446AIP/,/files/ENCFF886MLH/,/files/ENCFF014NHI/,/files/ENCFF509XPD/,/files/ENCFF262QZT/,/files/ENCFF683ATR/,/files/ENCFF354UQN/,/files/ENCFF747VNU/,/files/ENCFF356ZTW/,/files/ENCFF781FXC/		ENCBS517UIR,ENCBS175JIH	1,2	1	ENCAB039KCI	Homo sapiens	adult	53 years												/replicates/4f2a06be-cd76-49a9-b840-d1a3f7178f15/,/replicates/3b163c72-ffaf-40e4-b20b-3ff84d394bd4/				
/experiments/ENCSR240MVJ/	ENCSR240MVJ	eCLIP	eCLIP	cell line	/targets/HNRNPU-human/	HNRNPU	HNRNPU	Homo sapiens HepG2	HepG2	RBPImage:HNRNPU,GEO:GSE91604	eCLIP experiment on HepG2 against HNRNPU	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF195JRZ/,/files/ENCFF383SFO/,/files/ENCFF739PWI/,/files/ENCFF942SSU/,/files/ENCFF323IDR/,/files/ENCFF979DWE/,/files/ENCFF854NXI/,/files/ENCFF125EPG/,/files/ENCFF587PLY/,/files/ENCFF040QAV/,/files/ENCFF751WTI/,/files/ENCFF937XOB/,/files/ENCFF677NVJ/,/files/ENCFF600ZSJ/,/files/ENCFF907BAD/,/files/ENCFF053XYY/,/files/ENCFF958UYK/,/files/ENCFF039XQD/,/files/ENCFF024FCB/,/files/ENCFF587FNW/,/files/ENCFF382XRS/,/files/ENCFF621JPQ/,/files/ENCFF861LOK/,/files/ENCFF568MGU/,/files/ENCFF095IVK/,/files/ENCFF021JPD/		ENCBS449LCQ,ENCBS269TMY	1,2	1	ENCAB502MPG	Homo sapiens	child	15 years												/replicates/6d2d2214-f548-408d-aedb-1dfab7feafeb/,/replicates/f6b011f1-0ff2-48a1-859d-2e8143fad2fa/				
/experiments/ENCSR947JVR/	ENCSR947JVR	eCLIP	eCLIP	cell line	/targets/DGCR8-human/	DGCR8	DGCR8	Homo sapiens K562	K562	GEO:GSE92182	eCLIP experiment on K562 against DGCR8	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF969KXX/,/files/ENCFF370UVC/,/files/ENCFF905DBX/,/files/ENCFF162KZD/,/files/ENCFF614EMY/,/files/ENCFF491LUG/,/files/ENCFF239WCW/,/files/ENCFF843HDQ/,/files/ENCFF023RGT/,/files/ENCFF945ITD/,/files/ENCFF799FTL/,/files/ENCFF303NPB/,/files/ENCFF601RGF/,/files/ENCFF311HEG/,/files/ENCFF402WTV/,/files/ENCFF321LLR/,/files/ENCFF555GID/,/files/ENCFF023YVD/,/files/ENCFF887LSX/,/files/ENCFF735UHA/,/files/ENCFF264ODZ/,/files/ENCFF141IID/,/files/ENCFF799XKD/,/files/ENCFF015KTU/,/files/ENCFF719GZA/,/files/ENCFF682SYA/		ENCBS931MQO,ENCBS253VOZ	1,2	1	ENCAB462ILE	Homo sapiens	adult	53 years												/replicates/a28830f1-f5b6-44da-84d9-d05485b9d6ef/,/replicates/3f379114-f951-4343-91db-2a78e1b60986/				
/experiments/ENCSR267OLV/	ENCSR267OLV	eCLIP	eCLIP	cell line	/targets/SF3B4-human/	SF3B4	SF3B4	Homo sapiens K562	K562	GEO:GSE91619	eCLIP experiment on K562 against SF3B4	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF036ZJT/,/files/ENCFF363ZXR/,/files/ENCFF063MAF/,/files/ENCFF900YPE/,/files/ENCFF379LAL/,/files/ENCFF477PBU/,/files/ENCFF187VMX/,/files/ENCFF095KWC/,/files/ENCFF173BOO/,/files/ENCFF809CSI/,/files/ENCFF480NTZ/,/files/ENCFF252JLE/,/files/ENCFF788GEX/,/files/ENCFF177LYJ/,/files/ENCFF378VIS/,/files/ENCFF716HYU/,/files/ENCFF009QOP/,/files/ENCFF649GEE/,/files/ENCFF013ZHF/,/files/ENCFF658CBT/,/files/ENCFF498SRM/,/files/ENCFF788PZS/,/files/ENCFF220ERG/,/files/ENCFF686EKJ/,/files/ENCFF707MUI/,/files/ENCFF115VOI/		ENCBS175JIH,ENCBS517UIR	2,1	1	ENCAB647CFU	Homo sapiens	adult	53 years												/replicates/c655c86d-be55-4a90-86dd-98904a301547/,/replicates/a683c977-8a73-44bd-b5de-2913190430ce/				
/experiments/ENCSR862QCH/	ENCSR862QCH	eCLIP	eCLIP	cell line	/targets/U2AF1-human/	U2AF1	U2AF1L5,U2AF1	Homo sapiens K562	K562	GEO:GSE92110	eCLIP experiment on K562 against U2AF1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF818OSI/,/files/ENCFF936MBM/,/files/ENCFF663SQD/,/files/ENCFF208AKL/,/files/ENCFF367JCV/,/files/ENCFF425GCF/,/files/ENCFF163SWW/,/files/ENCFF314SWS/,/files/ENCFF132PVT/,/files/ENCFF672OHA/,/files/ENCFF822MGE/,/files/ENCFF164HBW/,/files/ENCFF364VVL/,/files/ENCFF262KAI/,/files/ENCFF362OME/,/files/ENCFF939EXV/,/files/ENCFF607AXF/,/files/ENCFF640IHY/,/files/ENCFF555DWV/,/files/ENCFF468LUS/,/files/ENCFF362XUO/,/files/ENCFF483ODR/,/files/ENCFF163SZQ/,/files/ENCFF129MRQ/,/files/ENCFF331EAF/,/files/ENCFF856BKY/		ENCBS652YOG,ENCBS152EMG	1,2	1	ENCAB298WVV	Homo sapiens	adult	53 years												/replicates/3afeca74-029c-42e4-8557-315ac9eb9f76/,/replicates/1292846d-c572-415d-af49-eef4d40cea5d/				
/experiments/ENCSR841EQA/	ENCSR841EQA	eCLIP	eCLIP	cell line	/targets/TAF15-human/	TAF15	TAF15	Homo sapiens HepG2	HepG2	GEO:GSE92098,RBPImage:TAF15	eCLIP experiment on HepG2 against TAF15	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF456KCB/,/files/ENCFF185GGV/,/files/ENCFF192XSY/,/files/ENCFF718IXR/,/files/ENCFF981SIK/,/files/ENCFF730OHC/,/files/ENCFF513PTZ/,/files/ENCFF420FTB/,/files/ENCFF701ZSE/,/files/ENCFF702WRF/,/files/ENCFF499RET/,/files/ENCFF863MSD/,/files/ENCFF035UXQ/,/files/ENCFF846YVU/,/files/ENCFF060WSO/,/files/ENCFF552FVV/,/files/ENCFF034THM/,/files/ENCFF566EAE/,/files/ENCFF603JTU/,/files/ENCFF063BTH/,/files/ENCFF383ZAQ/,/files/ENCFF899ZEH/,/files/ENCFF213AZD/,/files/ENCFF209XXY/,/files/ENCFF206XUM/,/files/ENCFF878VIO/		ENCBS362ASG,ENCBS308ZPA	1,2	1	ENCAB249IHJ	Homo sapiens	child	15 years												/replicates/50d9fa84-ddfb-449d-821a-e9094cabf0ff/,/replicates/8a0e6373-a2c4-4ae9-9619-ad0c06f0f1c0/				
/experiments/ENCSR301TFY/	ENCSR301TFY	eCLIP	eCLIP	cell line	/targets/DKC1-human/	DKC1	DKC1	Homo sapiens HepG2	HepG2	RBPImage:DKC1,GEO:GSE91645	eCLIP experiment on HepG2 against DKC1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF850VGF/,/files/ENCFF462ZYJ/,/files/ENCFF565YYP/,/files/ENCFF111YEH/,/files/ENCFF494NKD/,/files/ENCFF568RRM/,/files/ENCFF002FLD/,/files/ENCFF732TFX/,/files/ENCFF252TQP/,/files/ENCFF889WDL/,/files/ENCFF895VPK/,/files/ENCFF435VZL/,/files/ENCFF859KPS/,/files/ENCFF502GTY/,/files/ENCFF163AYZ/,/files/ENCFF192FMW/,/files/ENCFF099IRI/,/files/ENCFF633LQC/,/files/ENCFF074ATJ/,/files/ENCFF043XKO/,/files/ENCFF897PMV/,/files/ENCFF841ZPX/,/files/ENCFF766JDH/,/files/ENCFF965TAV/,/files/ENCFF507TSG/,/files/ENCFF824DEU/		ENCBS881CIF,ENCBS308ZPA	2,1	1	ENCAB174DOV	Homo sapiens	child	15 years												/replicates/b1dc3f1c-fb7e-4ee1-a650-c04a82e96d4e/,/replicates/68e25b3a-2e64-41a3-8eda-d7e3f4b971fa/				
